sentence_id	dogovoreno	pravilo	obrazlozenje
bli-10273523353-005	SUBJ	P1	
bli-14602151867-001	OBJ	P6	
bli-20798595648-014	OBJ	P7	
bli-36147663713-008	SUBJ	P4	
bli-50659446364-052	SUBJ	P5	
bli-50940487061-008	OBJ	P7	
bli-55144293120-004	OBJ	P3	
bli-69573754796-024	SUBJ	P13	
dan-127370657318-029	SUBJ	P4	
dan-221656367654-018	OBJ	P6	
dan-223022264918-008	OBJ	P6	
dan-273156172461-011	SUBJ	—	Nemoguća situacija (oksimoron)
dan-342624403880-003	OBJ	P3	
dan-353908777753-008	SUBJ	P10	
dan-359298452358-004	OBJ	P6	
dan-371249651231-043	SUBJ	P4	
dan-390414344818-024	SUBJ	—	Sugestivno pitanje, sadrži onda
dan-393301420124-013	SUBJ	P1	
dan-451304427954-016	OBJ	P6	
dan-473030740077-034	OBJ	P7	
dan-524955297269-002	OBJ	P7	
dan-755167115591-019	SUBJ	P5	
dan-799233598578-019	SUBJ	P4	
dan-848007019343-023	SUBJ	P1	
dan-918945551232-030	OBJ	P7	
dan-960880264478-011	OBJ	P3	
dan-997701263776-009	OBJ	P6	
n1i-124956-004	OBJ	P6	
n1i-148573-009	SUBJ	P4	
n1i-289896-000	SUBJ	P10	
n1i-315167-018	SUBJ	P1	
n1i-328638-013	OBJ	P6	
n1i-330787-007	OBJ	P7	
n1i-362140-038	OBJ	P7	
n1i-378528-005	OBJ	P6	
n1i-413363-021	SUBJ	P4	
n1i-441823-052	OBJ	P14	
n1i-465919-024	SUBJ	P4	
n1i-501488-034	SUBJ	P1	
n1i-539601-006	SUBJ	P1	
n1i-568445-000	OBJ	P6	
n1i-596877-002	SUBJ	P10	
n1i-814434-010	OBJ	P7	
n1i-884250-033	SUBJ	P4	
n1i-968871-024	OBJ	P3	
n1i-976710-009	SUBJ	P1	
pol-715941-002	SUBJ	P1	
pol-749395-019	SUBJ	P4	
pol-749400-032	OBJ	P6	
pol-750838-008	OBJ	P3	
pol-754422-014	SUBJ	P4	
pol-756889-010	SUBJ	P4	
pol-766974-027	SUBJ	P10	
pol-768048-007	OBJ	P7	
pol-772423-036	SUBJ	P4	
pol-773024-012	SUBJ	P5	
pol-774087-012	SUBJ	P5	
pol-774327-018	SUBJ	P4	
pol-774641-010	SUBJ	P4	Da li je opšte prihvaćeno ili mišljenje autora?
pol-779307-000	OBJ	P7	
pol-783363-004	OBJ	P6	
pol-783648-005	OBJ	P7	
pol-783692-004	SUBJ	P13	
rts-5548870-010	SUBJ	P1	
rts-5617257-033	SUBJ	P10	
rts-5888434-003	OBJ	P14	
rts-5918793-015	SUBJ	P1	
rts-5922605-010	SUBJ	P10	
rts-6006306-257	SUBJ	P1	
rts-6011305-011	SUBJ	P4	
rts-6030572-002	SUBJ	P4	
vre-4922015-039	SUBJ	P1	
vre-4929355-016	SUBJ	P1	
vre-4929804-008	OBJ	P6	
vre-4931176-024	OBJ	P7	
vre-4932680-045	OBJ	P6	
vre-4934233-027	OBJ	P7	
vre-4948477-007	OBJ	P6	
vre-4956785-002	SUBJ	P13	
vre-4965741-003	OBJ	P3	
vre-4973237-053	SUBJ	P4	
vre-4977044-019	OBJ	P6	
vre-4981395-013	SUBJ	P5	
vre-4994908-021	OBJ	P7	
vre-5002936-033	SUBJ	P9	
