sentence_id	genre	topic	is_question	prev	text	next	label	hard	note
dan-390414344818-023	kolumna	pol-drustvo	Y		Ili isplata ide na ruke ministru zdravlja?	Zašto se onda lekari ne bune?	SUBJ		
dan-388455945945-002	kolumna	pol-drustvo		Za svaki slučaj, možda zatreba brzo.	Ako tako bude, mnogo će koji sugrađanin pred televizorom kršiti prste i pitati se šta ćemo bez njega, hoće li sutra biti penzije, hoće li radijatori biti topli i da li će Sunce uopšte izaći iz pravca Negotina.	Ovaj kolumnista ima svojih bojazni, ali sve u javnome interesu pa izdržite do kraja kolumne.	SUBJ		
bli-50940487061-005	vest	pol-drustvo		Mogućnost da zakažete imate u nekom od objavljenih termina u okviru mesec dana, ali su oni skoro svi popunjeni.	Kada je u pitanju Beograd, u PU Novi Beograd u Omladinskih brigada od druge nedelje jula pa sve do 12. avgusta nema nijednog termina za vađenje pasoša.	Slična situacija sa slobodnim terminima za vađenje novih pasoša je i u PS Čukarica, PS Voždovac, PS Stari Grad i PS Rakovica i PS Zemun.	OBJ		
bli-73951088455-004	vest	pol-drustvo			30 GODINA OD STUDENTSKIH PROTESTA '96.	Od poslednjih velikih studentskih protesta prošlo je ravno 30 godina.	OBJ		
bli-41869799782-004	vest	pol-drustvo		Inače, pored specijalne opreme, ovo vozilo služi i za prevoz maksimalno do sedmoro ljudi osposobljenih za brze intervencije na pruzi i rad na terenu.	- Dvoputo vozilo je u sastavu službe za pomoćni voz, čiji je zadatak da se posledice vanrednih događaja što pre raščiste i pruga u najkraćem roku ponovo osposobi za redovan železnički saobraćaj.	Zahvaljujući dvoputom želenzičkom vozilu, posledice najvećeg broja nesreća i nezgoda otklanjaju se u veoma kratkom roku - navodi se.	OBJ		
dan-1034138882983-013	kolumna	ekonomija			Ujedinjeni suverenisti svih političkih boja koji nemaju odgovor na pitanje kako, na primer, funkcioniše Finska koja nema rafineriju ili Hrvatska koja je ima, ali ona više ne radi nego što radi.	I zašto rafinerija (naftna kompanija) mora da bude državna, može li privatna rafinerija (naftna kompanija) da snabdeva tržište i obezbedi nacionalni interes?	SUBJ		
dan-370481587188-001	vest	pol-drustvo		U Sremskoj Mitrovici je Dan žalosti zbog pogibije troje ljudi u petak, kada se autobus sa oko 80 putnika u mestu Jarak prevrnuo i sleteo u kanal.	Otkazane su sve manifestacije koje su bile zakazane u Sremskoj Mitrovici, a zastave su spuštene na pola koplja, javlja RTS.	Nesreća se dogodila u petak oko 14.45 časova, kada se prevrnuo autobus koji je prevozio radnike na putu od Sremske Mitrovice ka selu Jarak.	OBJ		
dan-127370657318-030	kolumna	pol-drustvo		Tako se u Srbiji pobeđuje i čuva vlast.	Jasno je da u fer izbornim uslovima režim nema većinu.	Jasno je i to da se od negdašnje masovnosti malo šta zadržalo.	SUBJ		
bli-28702987466-011	vest	svet		Njega su okupljeni na Trgu pozdravili aplauzom pre nego što je otišao na sastanak sa predstavnicima porodica talaca koji je, prema izraelskom Forumu za taoce i nestale osobe, trajao skoro dva sata.	Hamas je u napadu na jug Izraela u oktobru 2023. godine ubio oko 1.200 osoba i oteo 251 taoca, prema izraelskim izvorima, od kojih se 50 još nalaze u Gazi, a za oko 20 se veruje da su još živi.		OBJ		
dan-279080153667-000	vest	pol-drustvo			Lider pokreta Kreni-promeni Savo Manojlović ocenio je danas, nakon što je predsednik Srbije Aleksandar Vučić pozvao studente u blokadi na dijalog, da se sa takvom vlašću ne pregovara i ne pravi prelazna vlada.	Manojlović je na društvenoj mreži Iks (X) ocenio da je Vučićev poziv na dijalog „akt pokvarenog siledžije koji maltretira sve živo zaklanjajući se iza drugih“.	OBJ		"Da li ovo spada u ""Navod ili parafraza sa atribucijom""?"
bli-30537917607-046	kolumna	pol-drustvo		Zato su i bili spremni da budu neobični pošteni i ludački hrabri.	Vera se kasnije pretvorila u običaj, koji je nestao sa društvom koje je postalo svetsko carstvo.	Posle vekova inercija je prekinuta, a ostala je samo nekritička, idealizovana uspomena.	SUBJ		
dan-997701263776-006	kolumna	pol-drustvo			Vreme je da to popravimo.	„A sa čim ima veze?			
bli-4501436039-007	vest	pol-drustvo		Nezvanično, on ima povrede glave koje je zadobio od udaraca.	Nakon lekarske pomoći dečak je pušten na kućno lečenje.		OBJ		
bli-28702987466-009	vest	svet		"Pregovori sa njim su bili frustrirajući, a sada mislimo da treba da uradimo sve ili ništa"", istakao je on."	Vitkof je posetio Trg talaca u Tel Avivu gde su porodice otetih danas postavile logor od bodljikave žice, da bi ukazale na tešku situaciju preostalih talaca koje drži Hamas.	Njega su okupljeni na Trgu pozdravili aplauzom pre nego što je otišao na sastanak sa predstavnicima porodica talaca koji je, prema izraelskom Forumu za taoce i nestale osobe, trajao skoro dva sata.	SUBJ		Mišljenje u obliku obične tvrdnje?
bli-78075228580-016	vest	pol-drustvo		- Naime, postoji određena sumnja da je ekipa tada planski pratila, namamila, a zatim otela Medina i ubila ga.	Njegovo telo su potom, navodno, uništili ili sakrili, i iz tog razloga nikad nije ni pronađeno.	Inače, u proteklih devet godina ubijena su dvojica Crnogoraca koji su se dovodili u vezu sa nestankom i ubistvom Nemanje Medina, dok je jedan ranjen.	SUBJ		"Da li ovo spada u ""Pitanje sa evaluativnim podrazumevanim odgovorom""?"
bli-49788632110-004	vest	ekonomija		Najširi MSCI indeks azijsko-pacifičkih akcija bez Japana porastao je za 3,2 odsto.	Južnokorejski KOSPI skočio je 7,4 odsto, japanski Nikkei 2,7 odsto, kineski CSI300 jedan odsto, dok je hongkonški Hang Seng porastao 1,3 odsto.	Rast je zabeležen i na Volstritu, gde su sva tri glavna indeksa ostvarila najveće dnevne dobitke od aprila.	OBJ		
bli-74351411120-038	vest	pol-drustvo		Na pitanje šta znaju o Srbiji, oboje su se glasno nasmejali.	- Iskreno, ne baš mnogo – rekli su uglas.	Kažu da im je vodič pričao o Đerdapu i klisuri kroz koju će proći.	OBJ		Subjektivna rečenica, ali predstavlja citat?
bli-12250897430-022	kolumna	pol-drustvo		Sa druge strane da li je politička pobeda moguća bez onih koji nemaju ispravne motive, kao i bez nesrećnih, uskraćenih, neiživljenih, glupih, nezrelnih, mentalno bolesnih…?	Moja generacija teško da je mogla to razumeti.	U politiku smo ušli kao maloletni, početkom devedesetih godina, kada su se snovi širom sveta mešali sa javom.	SUBJ		
dan-356165045608-006	vest	kultura		Njihove koncerte kritika često opisuje kao neponovljiva i transformativna iskustva, dok žanrovski okvir njihovog zvuka ostaje teško uhvatljiv.	Prva cena ulaznica iznosi 3000 dinara, a mogu se nabaviti u pretprodaji na prodajnim mestima Efinity, Pub Brod i Čumić Chillton.		OBJ		
bli-26494592732-019	vest	pol-drustvo		- Rešenje koje je objavljeno u Tivtu se odnosi na pretpristupni period, a najnovije se naslanja na njega i odnosi se na post pristupni period.	Prvi se obraća sadašnjosti a drugi se obraća budućnosti, kako da se ponašaju kada se potpise akt o pristupanju - napominje Subotić.	Šta je rečeno u Tivtu?	OBJ		
bli-36147663713-002	vest	pol-drustvo		Većina žrtava ubijena je od strane bliskih članova porodice - sinova, ćerki, bivših partnera.	"Italijanski Senat je jednoglasno rekao ""da"" - femicid ulazi u zakon kao posebno krivično delo, uz kaznu doživotnog zatvora."	Brutalno ubistvo žene zbog toga što je muškarac smatra svojinom – srž je mnogih zločina koje zovemo femicid.	OBJ		
bli-78075228580-018	vest	pol-drustvo		Inače, u proteklih devet godina ubijena su dvojica Crnogoraca koji su se dovodili u vezu sa nestankom i ubistvom Nemanje Medina, dok je jedan ranjen.	- Jedan od četvorice mladića koji su bili osumnjičeni za ubistvo Nemanje Medina, Darko Mijović, ubijen je sredinom maja 2019. u Nemačkoj.	Drugi osumnjičeni za nestanak i ubistvo Medina ubijen je sredinom juna 2019. godine na Cetinju dok je sa prijateljima sedeo za stolom u jednom kafiću.	OBJ		
dan-374730168556-009	kolumna	pol-drustvo		Bilo je među njima i tvrdica koji su ovde jeli da bi uštedei od penzija.	Najveći štos novca kao brucoš video sam kod jednog od te gospode.			Y	Rečenica je subjektivna ali je istovremeno i objektivna, ne vidim rešenje u pravilima
bli-74843587221-035	vest	pol-drustvo		Najmlađi zatvorenik je imao 13 godina, a najstariji 87.	Da li su oni bili pretnja?! - pita Nosović.	- Pobrojano je 167 načina na koje su mučili ljude, izgladnjivanje, premlaćivanje, puštanje struje telefonskim kablovima...	OBJ		
bli-65121201597-003	vest	pol-drustvo		- Incident se dogodio sinoć oko 20 časova, kada se dete iz za sada neutvrđenih razloga popelo na liticu sa koje više nije moglo bezbedno da siđe.	Videvši šta se događa, dvojica monaha iz manastira nisu oklevala.	Popeli su se do deteta, ostali uz njega na opasnoj litici i svojim prisustvom sprečili da dođe do tragedije, čekajući dolazak profesionalnih spasilačkih ekipa - potvrđeno je za agenciju RINA.	OBJ		
dan-127370657318-026	kolumna	pol-drustvo		Lepo zvuči, ama ništa ne menja.	Videli smo brutalniju represiju i drastičnije zloupotrebe nego ikad ranije.	Već viđeno, samo još gore.	SUBJ		Dodao bih u pravila reč brutalno
bli-50659446364-050	kolumna	pol-drustvo		Ujedno najbližih nekom idealu ali i onima koji su ga najstrašnije izneverili.	Rimska tradicija nije imala dileme: vojskovođa i senator Gaj Marcije Koriolan proslavljeni pobednik u ratovima sa susedima početkom 5. veka pre Hrista lažno je bio optužen; umesto da kao rodoljub prihvati sud otadžbine prebegao je nekadašnjim neprijateljima i povevši njihovu vojsku pobedio u bici rimske legije.	Sujetan, on je zamalo osvojio Rim.	SUBJ		
dan-974679248862-010	kolumna	sport		Bez oreola najboljeg ili bar poštovanog, na draftu za SNS nije kupljen u prvom krugu.	Kada smo postali država u kojoj je jedina neograničena sloboda – sloboda za laž – pojavljuje se i Tomašević sa klupe za rezervne igrače.		SUBJ		
dan-1077299556444-011	kolumna	kultura			O svemu, zapravo, o čemu nije imao ni mrvicu elementarnog znanja, a nekmoli neophodnog obrazovanja.	Takva vladavina je zahtevala apsolutnu poslušnost i okruženost isključivo klimoglavacima koji su neprestano potvrđivali sve njegove odluke i tako mu, u svakoj prilici, pumpali eventualno poljuljano samopouzdanje.	SUBJ		
dan-616629800977-010	kolumna	svet		Kako god, u arapskim zemljama sam uvek osećao da se, u nedostatku akademskije reči, nekako kapiramo.	Sad, iako u redakciji Danasa – gde sam, naravno, honorarni saradnik – teško da ima primerenije osobe za bavljenje ovim što sledi, osećam potrebu da i unutar teksta naglasim da su stavovi isključivo moji.	Rat u Gazi je ovih dana dobio još jedno, intelektualno bojište, i to ispred beogradskog Doma omladine gde se imao održati Festival izraelskog filma.	OBJ		
