sentence_id	label	nedoumica	napomena	annotator
bli-60972962282-010	OBJ			Anica
dan-473030740077-034	OBJ			Anica
bli-4501436039-004	OBJ			Anica
n1i-378528-005	OBJ			Anica
dan-524955297269-002	OBJ			Anica
rts-6032694-008	OBJ			Anica
pol-757014-055	OBJ			Anica
n1i-818178-003	SUBJ			Anica
n1i-286741-022	SUBJ			Anica
n1i-803780-009	SUBJ			Anica
bli-73198626059-000	OBJ			Anica
bli-14602151867-001	OBJ			Anica
bli-13382985284-002	OBJ			Anica
n1i-933448-015	SUBJ			Anica
n1i-716415-016	OBJ			Anica
vre-4969017-012	OBJ			Anica
rts-5521199-039	SUBJ	Y	slab odgovor - da li to cini recenicu subjektivnom?	Anica
pol-783363-004	OBJ			Anica
n1i-596397-024	OBJ			Anica
vre-4937332-003	SUBJ			Anica
pol-770077-011	SUBJ			Anica
vre-4973520-007	OBJ			Anica
n1i-320280-015	SUBJ			Anica
n1i-657783-029	SUBJ			Anica
vre-4984755-011	OBJ			Anica
dan-1034138882983-014	SUBJ	Y		Anica
pol-783648-005	OBJ			Anica
pol-781011-001	OBJ			Anica
rts-5888434-003	OBJ			Anica
dan-616629800977-008	SUBJ			Anica
n1i-660704-020	SUBJ	Y		Anica
vre-4994180-010	OBJ			Anica
n1i-328638-013	OBJ			Anica
rts-5481808-007	OBJ			Anica
n1i-376228-008	SUBJ			Anica
vre-5004078-031	OBJ			Anica
bli-50659446364-052	OBJ	Y		Anica
pol-783592-002	OBJ			Anica
rts-6006306-257	OBJ			Anica
rts-6036242-001	OBJ			Anica
n1i-173382-004	OBJ			Anica
n1i-580762-001	SUBJ			Anica
vre-4922015-039	OBJ			Anica
vre-4912915-010	SUBJ			Anica
vre-4930037-018	SUBJ			Anica
rts-6036162-006	OBJ			Anica
dan-52164773530-021	SUBJ			Anica
vre-4946062-042	SUBJ			Anica
bli-12250897430-021	SUBJ			Anica
pol-768048-007	OBJ			Anica
rts-6033299-059	OBJ			Anica
vre-4950725-005	OBJ			Anica
rts-6030871-015	OBJ			Anica
n1i-465919-024	OBJ	Y		Anica
n1i-717253-034	SUBJ			Anica
bli-8050207320-001	OBJ			Anica
bli-7345015666-011	OBJ			Anica
vre-4970392-010	SUBJ			Anica
bli-51675881736-037	OBJ			Anica
rts-6035767-009	OBJ			Anica
vre-4918461-011	SUBJ			Anica
n1i-413598-014	OBJ			Anica
rts-5645158-018	OBJ			Anica
pol-763223-052	OBJ			Anica
dan-850853213181-024	SUBJ			Anica
dan-762897715204-018	OBJ			Anica
pol-759678-001	OBJ			Anica
vre-5009398-006	SUBJ			Anica
vre-4937773-004	SUBJ			Anica
bli-44504394263-018	OBJ			Anica
pol-766974-027	OBJ			Anica
bli-73740714019-026	OBJ			Anica
n1i-568445-000	SUBJ			Anica
vre-4965461-004	SUBJ			Anica
bli-74184149100-000	OBJ			Anica
vre-4933484-016	SUBJ			Anica
pol-782624-006	OBJ			Anica
dan-872698080602-008	SUBJ			Anica
bli-63006732976-002	OBJ			Anica
dan-41704243850-000	OBJ			Anica
dan-1077299556444-012	SUBJ			Anica
n1i-441823-052	SUBJ	Y	utisak da smo poneli mnogo novca?	Anica
vre-4929355-016	OBJ	Y		Anica
pol-772423-036	SUBJ	Y		Anica
pol-779333-001	OBJ			Anica
n1i-531933-007	SUBJ			Anica
vre-4916591-010	OBJ			Anica
bli-3327590740-003	OBJ			Anica
n1i-546031-014	SUBJ			Anica
pol-765327-016	SUBJ	Y		Anica
dan-760585665622-026	SUBJ			Anica
bli-56113552149-032	OBJ			Anica
n1i-920465-006	SUBJ			Anica
n1i-884250-033	SUBJ			Anica
vre-5006296-011	SUBJ			Anica
rts-5570266-017	SUBJ			Anica
pol-783692-004	OBJ			Anica
vre-5005780-003	OBJ			Anica
dan-451304427954-016	SUBJ			Anica
vre-4994908-021	OBJ			Anica
vre-4932680-045	SUBJ			Anica
n1i-425235-014	OBJ	Y		Anica
pol-767254-014	OBJ			Anica
dan-960880264478-011	SUBJ			Anica
rts-5893107-015	SUBJ			Anica
n1i-928873-017	SUBJ			Anica
bli-8162721914-003	OBJ			Anica
vre-4998388-013	OBJ			Anica
vre-4948477-007	OBJ			Anica
pol-776155-004	SUBJ			Anica
dan-974679248862-008	SUBJ			Anica
pol-774641-010	SUBJ			Anica
pol-783303-007	OBJ			Anica
n1i-862314-043	OBJ			Anica
pol-752256-018	SUBJ			Anica
vre-4982089-013	SUBJ			Anica
bli-74228882674-001	OBJ			Anica
vre-5012460-018	OBJ			Anica
bli-9099111866-001	OBJ			Anica
rts-5512009-012	OBJ			Anica
dan-991507817792-007	OBJ			Anica
vre-5000424-007	OBJ			Anica
dan-356165045608-002	OBJ			Anica
pol-761066-053	SUBJ			Anica
n1i-289896-000	SUBJ	Y		Anica
dan-799233598578-019	SUBJ	Y	osnovni zlocin?	Anica
dan-371249651231-043	SUBJ	Y	SUBJ jer mozda se neko ne bi slozio	Anica
vre-5011555-018	OBJ			Anica
bli-36147663713-008	SUBJ			Anica
bli-78075228580-019	OBJ			Anica
n1i-746572-004	OBJ			Anica
dan-127084395572-001	OBJ			Anica
dan-350606325793-014	OBJ			Anica
pol-754422-014	OBJ	Y	mozda neko moze da se ne slozi sa ovim?	Anica
pol-783293-008	OBJ			Anica
n1i-184573-004	OBJ			Anica
pol-773910-005	OBJ			Anica
dan-628001085166-015	SUBJ			Anica
dan-349129965166-016	SUBJ			Anica
bli-44931989013-005	OBJ			Anica
n1i-593928-022	SUBJ			Anica
rts-6034951-007	OBJ			Anica
n1i-648790-027	SUBJ			Anica
pol-756889-010	OBJ			Anica
dan-273156172461-011	SUBJ			Anica
dan-755167115591-019	SUBJ			Anica
vre-4956785-002	SUBJ			Anica
pol-750838-008	SUBJ			Anica
vre-4922837-015	SUBJ			Anica
n1i-539601-006	SUBJ			Anica
n1i-261679-004	OBJ			Anica
dan-477652944950-002	OBJ			Anica
vre-4931176-024	SUBJ			Anica
rts-6035021-104	OBJ			Anica
n1i-976710-009	OBJ			Anica
bli-36009458462-005	OBJ			Anica
pol-761290-024	OBJ			Anica
rts-6037180-030	OBJ			Anica
dan-836641463989-012	SUBJ	Y		Anica
n1i-194167-060	OBJ			Anica
n1i-422531-061	OBJ			Anica
pol-775535-007	OBJ			Anica
n1i-917305-014	SUBJ			Anica
bli-28702987466-008	OBJ			Anica
vre-4929804-008	OBJ			Anica
dan-283305996123-005	OBJ			Anica
pol-773572-004	OBJ			Anica
bli-49788632110-003	OBJ			Anica
vre-4952328-011	OBJ			Anica
pol-783397-008	OBJ			Anica
vre-4978208-020	OBJ			Anica
bli-74351411120-039	OBJ			Anica
vre-4991499-004	OBJ			Anica
rts-5918793-015	SUBJ			Anica
pol-747221-022	OBJ			Anica
rts-6035082-003	OBJ			Anica
dan-359298452358-004	OBJ			Anica
pol-774327-018	OBJ	Y		Anica
n1i-786986-042	SUBJ			Anica
bli-68156912677-058	SUBJ			Anica
pol-749912-013	SUBJ			Anica
vre-4937484-004	OBJ			Anica
bli-60543088098-006	OBJ			Anica
n1i-596877-002	SUBJ			Anica
bli-27138866441-001	OBJ			Anica
pol-715941-002	OBJ			Anica
dan-750327860714-007	SUBJ			Anica
rts-6027577-013	OBJ			Anica
vre-5008262-016	OBJ			Anica
bli-26494592732-017	OBJ			Anica
pol-750140-033	OBJ			Anica
rts-5617257-033	SUBJ			Anica
n1i-319384-027	OBJ			Anica
vre-4998006-011	OBJ			Anica
rts-6011305-011	SUBJ			Anica
bli-29621128562-005	OBJ			Anica
n1i-433443-010	OBJ			Anica
bli-20798595648-014	OBJ	Y	mozda se neko ne slaze s ovim?	Anica
pol-763002-031	OBJ			Anica
vre-4967138-016	SUBJ			Anica
n1i-362140-038	SUBJ			Anica
bli-71230383589-002	OBJ			Anica
n1i-372766-003	OBJ			Anica
bli-57014420107-007	OBJ			Anica
rts-6032680-005	OBJ			Anica
vre-5006760-029	OBJ			Anica
n1i-814434-010	SUBJ			Anica
dan-510123298899-000	SUBJ			Anica
pol-759039-069	SUBJ			Anica
rts-6027067-008	OBJ			Anica
bli-33380391920-007	OBJ			Anica
n1i-413363-021	OBJ			Anica
dan-221656367654-018	OBJ			Anica
vre-4966200-014	SUBJ			Anica
pol-759176-020	OBJ			Anica
dan-195060797729-005	OBJ			Anica
n1i-742971-007	OBJ			Anica
n1i-330787-007	SUBJ			Anica
n1i-272016-028	OBJ			Anica
dan-302863878731-007	SUBJ			Anica
bli-34999235599-003	OBJ			Anica
dan-636811335761-001	OBJ			Anica
dan-738596140573-017	SUBJ			Anica
n1i-668917-037	SUBJ			Anica
dan-485685474589-010	SUBJ			Anica
vre-4977044-019	OBJ			Anica
dan-829739063252-004	OBJ			Anica
dan-374730168556-003	SUBJ			Anica
dan-419895962630-006	OBJ			Anica
rts-6035638-061	OBJ			Anica
pol-774087-012	SUBJ			Anica
vre-4973530-000	OBJ			Anica
bli-73951088455-010	SUBJ			Anica
vre-4934520-012	SUBJ			Anica
dan-809962852959-015	OBJ			Anica
vre-5002583-007	SUBJ			Anica
vre-4939623-010	OBJ			Anica
vre-4928805-007	OBJ			Anica
dan-127370657318-029	SUBJ			Anica
n1i-865459-006	SUBJ			Anica
dan-699151381405-019	SUBJ			Anica
rts-5560475-011	SUBJ			Anica
n1i-501488-034	OBJ			Anica
vre-4973237-053	OBJ			Anica
n1i-927147-004	OBJ			Anica
vre-5002936-033	SUBJ	Y		Anica
dan-835985637654-001	OBJ			Anica
dan-918945551232-030	SUBJ			Anica
n1i-663709-007	SUBJ			Anica
n1i-968871-024	SUBJ			Anica
n1i-763930-017	SUBJ			Anica
vre-5005332-047	OBJ			Anica
dan-579711375602-013	SUBJ			Anica
vre-4965741-003	OBJ			Anica
bli-15033754859-007	SUBJ	Y		Anica
vre-4982828-015	OBJ			Anica
bli-19175683882-005	OBJ			Anica
vre-4999756-014	SUBJ			Anica
dan-393301420124-013	SUBJ			Anica
bli-27357956365-011	OBJ			Anica
pol-775648-057	SUBJ			Anica
bli-69573754796-024	SUBJ			Anica
vre-4983491-018	SUBJ			Anica
n1i-394443-049	SUBJ			Anica
pol-777373-010	SUBJ			Anica
rts-6028727-008	OBJ			Anica
vre-5006882-002	OBJ			Anica
bli-50940487061-008	SUBJ			Anica
n1i-837189-014	OBJ			Anica
pol-782395-004	SUBJ	Y		Anica
dan-390414344818-024	SUBJ	Y		Anica
