sentence_id	source	article_id	genre	topic	category	sent_idx	n_clean	url	text	in_quote	text_marked	member	label	izvor_oznake	pravilo
bli-10273523353-005	blic	10273523353	vest	pol-drustvo	drustvo	5	19	https://www.blic.rs/vesti/drustvo/sta-raditi-ako-dobijete-lazni-sms-za-kaznu-nova-prevara-kruzi-srbijom/4pwl9cp	Poruke stvarno deluju kao da dolaze od JKP "Putevi Srbije"		Poruke stvarno deluju kao da dolaze od JKP "Putevi Srbije"	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	usaglaseno	P1
bli-10661856054-004	blic	10661856054	vest	pol-drustvo	drustvo	4	5	https://www.blic.rs/vesti/drustvo/auto-put-e-75-u-zastoju-nesrece-kod-vodnja-i-begaljickog-brda-usporavaju-saobracaj/4wbsks6	Na autoputu E-75 večeras se dogodila saobraćajna nezgoda kod Vodnja u smeru ka Nišu, a prema pisanjima pojedinih medija, jedno vozilo pretrpelo je veliku materijalnu štetu, odnosno prednji deo automobila je potpuno uništen.		Na autoputu E-75 večeras se dogodila saobraćajna nezgoda kod Vodnja u smeru ka Nišu, a prema pisanjima pojedinih medija, jedno vozilo pretrpelo je veliku materijalnu štetu, odnosno prednji deo automobila je potpuno uništen.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-12250897430-021	blic	12250897430	kolumna	pol-drustvo	politika	21	68	https://www.blic.rs/vesti/politika/cedomir-antic-pise-za-blic-o-mrznji/5mlv8ye	Sa druge strane da li je politička pobeda moguća bez onih koji nemaju ispravne motive, kao i bez nesrećnih, uskraćenih, neiživljenih, glupih, nezrelnih, mentalno bolesnih…?		Sa druge strane da li je politička pobeda moguća bez onih koji nemaju ispravne motive, kao i bez nesrećnih, uskraćenih, neiživljenih, glupih, nezrelnih, mentalno bolesnih…?	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	saglasnost	
bli-12874271836-003	blic	12874271836	vest	kultura	kultura	3	14	https://www.blic.rs/kultura/proslavljeni-reditelj-emir-kusturica-otkriva-detalje-o-svom-filmu-posvecenom-moskvi/5wx0bq4	Arhitektura je novi deo te percepcije, ali ljudi su uvek ono što je grad - rekao je Kusturica odgovarajući na pitanja novinara na Moskovskoj međunarodnoj nedelji filma.		Arhitektura je novi deo te percepcije, ali ljudi su uvek ono što je grad - rekao je Kusturica odgovarajući na pitanja novinara na Moskovskoj međunarodnoj nedelji filma.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-13382985284-002	blic	13382985284	vest	pol-drustvo	politika	2	4	https://www.blic.rs/vesti/politika/nastavak-dijaloga-danas-u-briselu-delegaciju-beograda-predvodi-petkovic/65bvtj8	Dve strane bi trebalo da nastave razgovore o sprovođenju deklaracije o nestalim licima.		Dve strane bi trebalo da nastave razgovore o sprovođenju deklaracije o nestalim licima.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-13582197086-003	blic	13582197086	vest	ekonomija	biznis	3	5	https://www.blic.rs/biznis/vesti/goc-dobija-novu-turisticku-atrakciju-evo-sta-se-tacno-gradi/68mhmce	Tubing staza, duga 92 metra, biće izrađena od posebne plastične podloge koja omogućava sankanje uz pomoć velikih guma i tokom leta i zime, bez obzira na vremenske uslove.		Tubing staza, duga 92 metra, biće izrađena od posebne plastične podloge koja omogućava sankanje uz pomoć velikih guma i tokom leta i zime, bez obzira na vremenske uslove.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-14602151867-001	blic	14602151867	vest	pol-drustvo	politika	1	4	https://www.blic.rs/vesti/politika/petar-petkovic-cestitao-vidovdan-srbima-na-kim/6phqshn	Petković je ocenio da je Vidovdan trajno obeležio proces oblikovanja srpske nacionalne svesti, navodeći da Srbi ne bi preživeli brojna istorijska iskušenja da nije bilo tog praznika i ''vidovdanske etike''.	Y	„Petković je ocenio da je Vidovdan trajno obeležio proces oblikovanja srpske nacionalne svesti, navodeći da Srbi ne bi preživeli brojna istorijska iskušenja da nije bilo tog praznika i ''vidovdanske etike''.“	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	usaglaseno	P6
bli-15033754859-007	blic	15033754859	kolumna	pol-drustvo	politika	7	62	https://www.blic.rs/vesti/politika/cedomir-antic-pise-za-blic-nikada-nije-bilo-gore/6wmpjhn	Nepreciznost u nauci često predstavlja drugi naziv za netačnost.		Nepreciznost u nauci često predstavlja drugi naziv za netačnost.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	SUBJ	saglasnost	
bli-19175683882-005	blic	19175683882	vest	pol-drustvo	politika	5	6	https://www.blic.rs/vesti/politika/kfor-o-dronovima-mejd-in-kosovo-redovno-pratimo-vazdusni-prostor-kim/8t4pgdm	Oznaku "mejd in Kosovo“ dronovi brenda Skiferi (Soko) nosiće dva drona: prvi je dron kamikaza K1 koji dostiže maksimalno 180 kilometara na sat i visinu od 2.500 metara, drugi dostiže 5.000 metara visine i operativni domet od 20 kilometara, sa brzinom od 270 kilometara na čas.		Oznaku "mejd in Kosovo“ dronovi brenda Skiferi (Soko) nosiće dva drona: prvi je dron kamikaza K1 koji dostiže maksimalno 180 kilometara na sat i visinu od 2.500 metara, drugi dostiže 5.000 metara visine i operativni domet od 20 kilometara, sa brzinom od 270 kilometara na čas.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-20798595648-014	blic	20798595648	kolumna	pol-drustvo	politika	14	116	https://www.blic.rs/vesti/politika/tatjana-macura-pise-za-blic-dijalog-nije-ustupak-dijalog-je-odgovornost/9jyy340	Čak i kada ne postoji potpuno slaganje, razgovor otvara mogućnost za kompromis.		Čak i kada ne postoji potpuno slaganje, razgovor otvara mogućnost za kompromis.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	usaglaseno	P7
bli-26494592732-017	blic	26494592732	vest	pol-drustvo	politika	17	32	https://www.blic.rs/vesti/politika/osvanuo-tajni-dokument-nemacke-francuske-i-jos-tri-zemlje-ogranicava-pravo-veta/c6672l8	Nije prvo rešenje koji smo čuli a tiče se proširenja, a Subotić kaže da se ovaj predlog oslnanja na onaj koji smo čuli sedam dana ranije.		Nije prvo rešenje koji smo čuli a tiče se proširenja, a Subotić kaže da se ovaj predlog oslnanja na onaj koji smo čuli sedam dana ranije.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-27138866441-001	blic	27138866441	vest	pol-drustvo	drustvo	1	5	https://www.blic.rs/vesti/drustvo/misteriozni-muskarac-u-crvenom-sokirao-prolaznike-u-novom-sadu-video/cgts3d5	Kako se vidi na snimku koji je objavila Instagram stranica 192_rs, misteriozni muškarac je bio od glave do pete obučen u crveno, sa crnim čizmama i crnom maskom koja mu je u potpunosti prekrivala lice.		Kako se vidi na snimku koji je objavila Instagram stranica 192_rs, misteriozni muškarac je bio od glave do pete obučen u crveno, sa crnim čizmama i crnom maskom koja mu je u potpunosti prekrivala lice.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
bli-27357956365-011	blic	27357956365	vest	pol-drustvo	drustvo	11	25	https://www.blic.rs/vesti/drustvo/mecava-na-zlatiboru-i-u-prijepolju-rhmz-u-upozorava-na-3-opasne-pojave/ckg7y8d	RHMZ u najnovijem upozorenju poziva na oprez sve učesnike u saobrćajau zbog snega, poledice i magle.		RHMZ u najnovijem upozorenju poziva na oprez sve učesnike u saobrćajau zbog snega, poledice i magle.	../danas-blic/danas-blic/to_annotate_danas-blic.tsv	OBJ	saglasnost	
