sentence_id	genre	topic	is_question	prev	text	next	label	hard	note
vre-4937773-010	kolumna	pol-drustvo		Nema sumnje da bi nešto ponaprednjačenih kadrova u vojsci koji su napredovali na raketni pogon, stalo u „datom trenutku“ iza svog „vrhovnog komandanta“.	U tom pravcu „Kobre“ već imaju zavidan minuli rad.		OBJ	Y	Generally objective, but uses words: ‘u tom pravcu” and “zavidan”
vre-4999756-012	kolumna	pol-drustvo		Aktualni šef države i cijelog Ćacilenda zato mora spojiti predsjedničke i parlamentarne izbora.	Pošto mu mandat ističe 31. maja 2027, njihovo održavanje vjerojatnije je krajem ove, nego u rano proljeće naredne godine.	Računica je jednostavna: većina naroda ili je za Vučića ili protiv njega, a on sebe smatra nepobjedivim.	SUBJ	Y	Uses word “vjerovatnije”, the author guesses
vre-4965741-005	kolumna	kultura		Sigurna sam da izdavači znaju šta rade i da s velikim razlogom ilustruju romane za tinejdžere, ali sam sigurna i da nema razloga da te ilustracije objašnjavaju radnju.	Pisci biraju radnju koja je tinejdžerima bliska, a oni imaju dovoljno i čitalačkog i životnog iskustva pa im je ilustrovanje onoga o čemu čitaju nepotrebno.	Ali, ponekad se pojavi neko ovdašnje izdanje koje, treba reći otvoreno, ne omalovažava mlade čitaoce, poput romana Olivere Zulović „Sto posto tuđa posla“ koji je nedavno objavio Kreativni centar.	SUBJ	Y	States author opinion, although has objective form
pol-759883-066	kolumna	pol-drustvo		Umesto toga, tvoja politika sve češće liči na disciplinovano pristajanje na tuđe okvire, uz naknadno srpsko objašnjenje za domaću upotrebu.	Tako je bilo i sada.	Tvrdnja da Srbija nije izričito pomenuta ne menja suštinu.	SUBJ	Y	Not enough context on it’s own, when looking previous sentence you see author is speaking pesonaly
pol-768048-006	kolumna	pol-drustvo	Y	Konkretno, za Srpsku je tamo zadužen Landau, zamenik državnog sekretara SAD, koji je, zajedno sa Cvijanovićevom, posredovao u dilu Tramp-Dodik, („ostavka za skidanje sankcija”).	Da, ali zašto ga je onda druga strana prihvatila?	Da ne zaboravimo ono glavno.	SUBJ	Y	Question but not sure if it’s rethorical
vre-5012460-016	kolumna	pol-drustvo		Posle je Vučićeva partija organizovala istovarivanje smeća pred kućom  Mlomira Milivojevića.	Psihologija, naravno, ima jasnu dijagnozu za osobe lišene emocija.	Ali ovde nije reč o postavljanju dijagnoze, nego o porukama koje besramni Vučićevi gestovi nose.	OBJ	Y	Seems objective but uses word: “naravno”
vre-4918461-009	kolumna	pol-drustvo		Takođe, biti u pravu oko jednog detalja, može da znači da smo u krivu kad je reč o celoj slici.	Šira slika (mada ni to nije cela) je sledeća: studenti su protest zakazali na Vidovdan i rešili da do kraja iskoriste simboliku tog praznika, kosovskog mita i nacionalne svesti.	To su sve pojmovi ovoj autorki prilično daleki, ali ne i neprijateljski.	SUBJ	Y	Kinda in a form of an opinion
vre-4970392-008	kolumna	pol-drustvo		Svaki vanredni izdatak za njih je monetarni udar.	Štede na svemu – hrani, obući, odjeći, sredstvima za higijenu.	Zubar im je misaona imenica, heroin jeftiniji od lijekova, mediji irelevantni i besmisleni.	SUBJ	Y	Looks more like a prose then journalism
vre-4969017-005	vest	svet			To je ambicija koja je započela pre više od decenije i sada je nadomak ostvarenja.	Četrdesetogodišnji Amerikanac Aleks Honold spada među najbolje penjače po stenama na svetu.	OBJ	Y	Still journalistic and objective but in a loose form
pol-782395-003	vest	pol-drustvo		Blokaderi su reagovali i na društvenim mrežama oštro kritikovali svoj medij.	„Niko u njemu ne vidi Petera Mađara, osim tebe, izgubljeni dragi Danasu”, napisala je ona, uz emotikon.	Pokušaj da se Ružić predstavi kao mogući novi politički akter sposoban da okupi protivnike vlasti brzo je izazvala bes blokadera.	OBJ	Y	It says: “uz emotikon” which is true, but kinda unnecessary
vre-5008147-018	kolumna	pol-drustvo		Njegov je režim svaki put hvatan u svim tim nepočinstvima i sada ih već naveliko sprovodi pred, biće, odsudne izbore.	Pa i tako, uz svu tu kriminalnu prednost koju režim pribavlja, deluje da će trka biti tesna.	Tu ne treba biti veliki matematičar pa zaključiti da SNS i sateliti mogu upravo malu odlučujuću prednost steći opisanim marifetlucima.	SUBJ	Y	Uses word “deluje”, author guesses
vre-4936342-006	kolumna	pol-drustvo		To je glavni razlog za Vučićev osmijeh od uha do uha.	Njegov govor tijela odaje duboko frustriranog čovjeka koji uživa u patnji drugih – žena, djece, mladih i starih osoba.	Cinično im se ceri dok je Novi Sad  po drugi put u pet dana izložen teroru policijske kaznene ekspedicije.	SUBJ	Y	No special word but the image is being exaggerated
pol-773254-006	kolumna	svet		Levi nije shvatio da autori eseja pišu o tome ko, kako i zašto danas dominantno formira taj svet, upravo potencirajući ključnu razliku sadašnjeg trenutka u istoriji u odnosu na skoro sve ranije periode.	Razmere mogućnosti algoritama i veštačke inteligencije da zagađuju javni prostor i troluju ljudsku pažnju i naša nemoć da prostor očistimo a pažnju usmerimo na činjenice jeste zastrašujuća novina.	Algoritmi su trenirani da maksimizuju angažovanje na društvenim mrežama i drugim platformama: vreme gledanja, lajkove, komentare i deljenja.	SUBJ	Y	Uses words “zastrašujuće” and “troluju”
vre-4977044-018	kolumna	kultura		I, to bi manje-više bilo sve što je urađeno na sanaciji pivare.	Nekada simbol industrijskog napretka i građanskog ponosa, Vajfertova pivara sada je skoro razrušena: ciglene zgrade su urušene, a krovove, takođe urušene, probijaju trava i korov.	„Danas je ovaj izuzetni industrijski kompleks izložen kritičnom riziku.	OBJ	Y	Uses word “skoro”, not precise, but still objective
pol-773254-004	kolumna	svet			Brzopleti Bernar-Anri Levi u odgovoru na esej, potpuno promašujući poentu, tvrdi da postistinski svet nije ništa novo, da je rođen u antičkoj Atini, a ne u Silicijumskoj dolini, i da su branioci istine u svakoj epohi bili u iskušenju da se predaju, pa ipak nisu izgubili.	Levi nije shvatio da autori eseja pišu o tome ko, kako i zašto danas dominantno formira taj svet, upravo potencirajući ključnu razliku sadašnjeg trenutka u istoriji u odnosu na skoro sve ranije periode.	SUBJ
vre-5003073-013	kolumna	pol-drustvo		Tako to ide kod Staljina sa Andrićevog venca.	U slučaju Ponoša, informativni razgovor nije bio dno beščašća.	Njegov proboj je uslijedio desetak minuta po izlasku lidera SRCE iz policije.	SUBJ
vre-4956785-009	kolumna	pol-drustvo		Na primjer, Putin je plinski aranžman za Srbiju ograničio do 1. januara ’26.	Time je zaprijetio otvaranjem potencijalne krize u isporukama plina i onemogućio Srbiju da nacionalizira NIS.		OBJ
pol-783293-005	vest	pol-drustvo		U okviru objekta nalaziće se približno 9.000 metara kvadratnih kancelarijskog prostora i dodatnih hiljadu metara kvadratnih laboratorijskog prostora, namenjenih razvoju, testiranju i istraživačkim aktivnostima.	Poseban fokus stavljen je na razvoj infrastrukture za inovacije kroz više od 10 specijalizovanih laboratorija za razvoj i testiranje, kao i fleksibilne radne i R&D prostore prilagođene različitim tipovima timova i kompanija.	Objekat će uključivati i moderan startap centar sa coworking prostorom većim od 300 metara kvadratnih, dodatne zajedničke i kolaborativne prostore za rad i umrežavanje, kao i više od 250 novih parking mesta za članove i posetioce.	OBJ
vre-5011555-016	kolumna	kultura		Naglašava da su osim za nagrade, na konkursu za pozorišnu delatnost odbijeni i svi projekti njihovih članova.	Objavili smo monografiju o Egonu Savinu, prvom laureatu nagrade Dejan Mijač koja se dodeljuje za rediteljski opus, i koju dodeljujemo sa Sterijinim pozorjem.	Uspeli smo da objavimo i monografiji Gospodari Dobričinog prstena Tatjane Nježić o prvih 35 laureata te nagrade.	OBJ
pol-770279-017	kolumna	kultura			Ali kako su ekonomisti postali više zabrinuti zbog ekonomskog rasta i bolje informisani o inflaciji i nezaposlenosti, kejnsijanski model je izgubio na značaju.	Kako je pisao njegov najznačajniji biograf Robert Skidelski, Kejnsov prvobitni napad na zlatni standard bio je usmeren na oskudicu metala i na sklonost zemalja sa viškom, poput Amerike, da ga gomilaju.	OBJ
vre-4927972-032	kolumna	pol-drustvo		U ugovor sam stavio da do raskida ne može da dođe tokom emitovanja prve sezone.	Tako su prvi put korisnici Telekomove mreže mogli da vide živog studenta i da čuju zahteve, to su gledali tokom cele sezone.	Radili smo potpuno slobodno, bez zamerki, poziva i pitanja – nikada nisam u životu imao taj stepen slobode.	OBJ
vre-5009398-009	kolumna	pol-drustvo		Za opozicione partije, koje su za 14 godina naprednjačke vlasti uspele da prokockaju gotovo svo poverenje građana, važi samo jedno: ili da završe ukrupnjavanje i postaraju se da niko ko izađe na izbore ne ostane ispod cenzusa ili da ne smetaju i pruže punu podršku „Studentskoj listi“.	I da se ne svađaju u javnosti kao da su u kafani.	Partije okupljene oko Vučića su odavno iscrpele svoj rezervoar birača, ne polazi im za rukom da pridobiju nove.	SUBJ
vre-4971487-005	vest	kultura		Rekonstrukcija je predviđena planom razvoja kulture grada Zrenjanina za period od 2026. do 2030. godine.	Zgrada Doma kulture u Banatskom Despotovcu izgorela je u požaru 2021. godine.	Dom kulture u Tarašu nije rekonstruisan, jer se nalazi na parceli koja je u svojini Republike Srbije i pod sporom je od 2017. godine.	OBJ
pol-774641-012	vest	kultura		Upravo u tom spoju duhovnosti i kreativnosti Petar Zec pronalazi suštinu književnog stvaralaštva.	Drugo, dopunjeno izdanje obogaćeno je novim esejima „Duh iz boce”, „Aladinova čarobna lampa” i „Iz Madrida pravo u raj”.		OBJ
vre-5005332-046	kolumna	kultura		Publika je jednostavno prezasićena: reciklirane priče se više ne mogu prodati kao nove samo zahvaljujući promeni rase ili pola glavnih junaka.	Najsvežiji primer je i filmska adaptacija Gospodara svemira (2026).	Kultna franšiza osamdesetih, na kojoj je odraslo nekoliko generacija, u novoj inkarnaciji donosi radikalne izmene ključnih likova.	OBJ
vre-4912915-008	kolumna	pol-drustvo		I tko to optužuje studente i pobunjeno društvo za nacizam?	Niko drugi do partija ustrojena na firer principu gdje o svemu odlučuje jedan jedini čovjek i koja je na toj osnovi zarobila čitavu državu.	Vlast koja zatire elementarnu demokraciju i čije propagandne metode nisu viđene još od Gebelsa.	SUBJ
vre-5002583-011	vest	pol-drustvo		Napori vlasti da eliminiše preostale kritične medije iz Junajted medija izašli su na videlo, zahvaljujući procurelom snimku telefonskog razgovora.	Međunarodni posmatrači upozorili su da ova eskalacija predstavlja direktan izazov obavezama Srbije u okvirima pristupanja Evropskoj uniji.	Kada je u pitanju osnovna zaštita, među ključnim problemima su nasilje nad novinarima koje je naglo eskaliralo, posebno nad reporterima koji su izveštavali o građanskim protestima i blokadama.	OBJ
vre-5005332-045	kolumna	kultura		Naslovi poput Male sirene (2023), prošlogodišnje verzije Snežane (gde su patuljci prekršteni u “magična stvorenja”), kao i najavljeni reboot serije Dosije X sa crnkinjom i Indusom u ulogama kultnih FBI agenata, redovno se suočavaju sa oštrim kritikama i finansijskim neuspehom.	Publika je jednostavno prezasićena: reciklirane priče se više ne mogu prodati kao nove samo zahvaljujući promeni rase ili pola glavnih junaka.	Najsvežiji primer je i filmska adaptacija Gospodara svemira (2026).	SUBJ
