sentence_id	label	nedoumica	napomena	annotator
bli-60972962282-010	OBJ			Aleksa
dan-473030740077-034	OBJ			Aleksa
bli-4501436039-004	OBJ			Aleksa
n1i-378528-005	OBJ			Aleksa
dan-524955297269-002	OBJ			Aleksa
rts-6032694-008	OBJ			Aleksa
pol-757014-055	OBJ			Aleksa
n1i-818178-003	SUBJ			Aleksa
n1i-286741-022	SUBJ			Aleksa
n1i-803780-009	SUBJ			Aleksa
bli-73198626059-000	OBJ			Aleksa
bli-14602151867-001	OBJ			Aleksa
bli-13382985284-002	OBJ	Y	'bi trebalo' je u ovom slučaju kao ograđivanje,a ne kao mišljenje	Aleksa
n1i-933448-015	SUBJ			Aleksa
n1i-716415-016	OBJ			Aleksa
vre-4969017-012	OBJ			Aleksa
rts-5521199-039	SUBJ			Aleksa
pol-783363-004	OBJ			Aleksa
n1i-596397-024	OBJ			Aleksa
vre-4937332-003	SUBJ			Aleksa
pol-770077-011	SUBJ			Aleksa
vre-4973520-007	OBJ			Aleksa
n1i-320280-015	SUBJ			Aleksa
n1i-657783-029	SUBJ			Aleksa
vre-4984755-011	OBJ			Aleksa
dan-1034138882983-014	SUBJ			Aleksa
pol-783648-005	OBJ			Aleksa
pol-781011-001	OBJ			Aleksa
rts-5888434-003	OBJ	Y	Daje se ocena, ali je odmah zatim potrkrepljena dokazom.	Aleksa
dan-616629800977-008	SUBJ			Aleksa
n1i-660704-020	SUBJ			Aleksa
vre-4994180-010	OBJ			Aleksa
n1i-328638-013	OBJ	Y	Zapravo se prenosi izjava	Aleksa
rts-5481808-007	OBJ			Aleksa
n1i-376228-008	SUBJ			Aleksa
vre-5004078-031	OBJ			Aleksa
bli-50659446364-052	OBJ			Aleksa
pol-783592-002	OBJ			Aleksa
rts-6006306-257	SUBJ			Aleksa
rts-6036242-001	OBJ			Aleksa
n1i-173382-004	OBJ			Aleksa
n1i-580762-001	SUBJ			Aleksa
vre-4922015-039	SUBJ			Aleksa
vre-4912915-010	SUBJ			Aleksa
vre-4930037-018	SUBJ			Aleksa
rts-6036162-006	OBJ			Aleksa
dan-52164773530-021	SUBJ			Aleksa
vre-4946062-042	SUBJ			Aleksa
bli-12250897430-021	SUBJ			Aleksa
pol-768048-007	OBJ			Aleksa
rts-6033299-059	OBJ			Aleksa
vre-4950725-005	OBJ			Aleksa
rts-6030871-015	OBJ			Aleksa
n1i-465919-024	SUBJ			Aleksa
n1i-717253-034	SUBJ			Aleksa
bli-8050207320-001	OBJ			Aleksa
bli-7345015666-011	OBJ			Aleksa
vre-4970392-010	SUBJ			Aleksa
bli-51675881736-037	OBJ			Aleksa
rts-6035767-009	OBJ			Aleksa
vre-4918461-011	SUBJ			Aleksa
n1i-413598-014	OBJ			Aleksa
rts-5645158-018	OBJ			Aleksa
pol-763223-052	OBJ			Aleksa
dan-850853213181-024	SUBJ			Aleksa
dan-762897715204-018	OBJ			Aleksa
pol-759678-001	OBJ			Aleksa
vre-5009398-006	SUBJ			Aleksa
vre-4937773-004	SUBJ			Aleksa
bli-44504394263-018	OBJ			Aleksa
pol-766974-027	OBJ			Aleksa
bli-73740714019-026	OBJ			Aleksa
n1i-568445-000	OBJ			Aleksa
vre-4965461-004	SUBJ			Aleksa
bli-74184149100-000	OBJ			Aleksa
vre-4933484-016	SUBJ			Aleksa
pol-782624-006	OBJ			Aleksa
dan-872698080602-008	SUBJ			Aleksa
bli-63006732976-002	OBJ			Aleksa
dan-41704243850-000	OBJ			Aleksa
dan-1077299556444-012	SUBJ			Aleksa
n1i-441823-052	OBJ			Aleksa
vre-4929355-016	SUBJ			Aleksa
pol-772423-036	OBJ	Y	Ključna karika je više stil nego ocena	Aleksa
pol-779333-001	OBJ			Aleksa
n1i-531933-007	SUBJ			Aleksa
vre-4916591-010	OBJ			Aleksa
bli-3327590740-003	OBJ			Aleksa
n1i-546031-014	SUBJ			Aleksa
pol-765327-016	SUBJ			Aleksa
dan-760585665622-026	SUBJ			Aleksa
bli-56113552149-032	OBJ			Aleksa
n1i-920465-006	SUBJ			Aleksa
n1i-884250-033	OBJ			Aleksa
vre-5006296-011	SUBJ			Aleksa
rts-5570266-017	SUBJ			Aleksa
pol-783692-004	OBJ	Y	ipak je to ocena 'nekih'	Aleksa
vre-5005780-003	OBJ			Aleksa
dan-451304427954-016	OBJ			Aleksa
vre-4994908-021	OBJ			Aleksa
vre-4932680-045	OBJ			Aleksa
